,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,1JJfWnAryrM,12 Things Every First Timer MUST DO When Visiting NYC !,Here Be Barr,358000,2063604,34339,1676
1,dfWSTHcO-QM,Your Perfect Weekend Guide to NYC (BEST 3-day Itinerary) | PART 1,Sarah Funk,209000,122164,2498,119
2,d7-uqfmD7nE,BEST THINGS TO DO IN NEW YORK CITY || NYC TRAVEL VLOG || NEW YORK TRAVEL GUIDE,Jenna Pierce,198000,50050,2211,148
3,WLSnrXEtrT4,TOP 10 Things to do in NEW YORK CITY  | NYC Travel Guide,Hungry Passport,234000,2412823,32375,1389
4,kwi3ad4bS1g,"THE ULTIMATE NYC TRAVEL GUIDE // unique places to visit, food recs, + safety tips",Mohuya Khan,14500,6508,270,24
5,MtCMtC50gwY,New York City Vacation Travel Guide | Expedia,Expedia,1150000,12351630,73738,5797
6,PUcg0XBqxBs,Everything YOU NEED to know before coming to NYC | 20 LOCAL TIPS 🗽,Sarah Funk,209000,228352,7020,319
7,r4znxBN9fmY,25 Best places to visit in NEW YORK CITY,Creative Travel Guide,35600,113630,1293,30
8,g-FH4-kKJbE,30 THINGS to do in NEW YORK (DO Your First Visit RIGHT),Lost LeBlanc,2070000,990871,24666,907
9,Y7HVDYGSJsI,OUR DREAM TRIP | 7 Day New York City Travel Guide,Sofia Abrantes,5030,7652,214,35
10,mWzogob2cq0,NYC First Timers GUIDE: 10 MUST Do Experiences!,Here Be Barr,358000,193624,3335,209
11,T_5RzWkYfpo,NYC in 2023 | Top 10 COOLEST things to do (all brand new)!,Sarah Funk,209000,127662,2419,235
12,jX_f3GZZCqI,Things To Do In New York: 4 Day Travel Guide,Domanation Travels,9850,808062,11367,346
13,-MSL-VdS8e8,7 Secrets Every NYC Tourist Needs To Know!,Here Be Barr,358000,267990,5399,214
14,maERkJPGGPA,"NYC's BEST Travel Guide: Things to do, Food, Scams, Tips, & More!",Sarah Funk,209000,27589,908,67
15,452Tn63LJUo,GOING TO NEW YORK FOR THE FIRST TIME! | NYC travel vlog part 1,Rosina Valcheva,29300,128685,4260,173
16,I9gotv1kmzM,25 ESSENTIAL New York City Tips in 10 Minutes!,Here Be Barr,358000,313838,8686,321
17,JtfZPgWxlMI,New York City Travel Guide,Attaché,172000,1792934,16207,1963
18,zO8k7AsGxHE,10 SECRETS Smart New York Tourists KNOW!,Here Be Barr,358000,117037,2780,172
19,AwR5r_DxfPs,Flying To New York ALONE! First Solo Travel Adventure To NYC,Jazzy Vlogs,225000,52286,2651,152
20,Azt_jTl6zuU,FLYING FIRST CLASS TO NEW YORK | travel with me vlog! Nicole Laeno,Nicole Laeno,2940000,3815142,116436,1229
21,WmFEOgxH0x0,New York City Travel Guide: Best Things To Do in NYC,Island Hopper TV,197000,317616,4113,224
22,yKOQV43bCh4,10 Best Places to Visit in New York State - Travel Video,touropia,1170000,159872,6843,149
23,YfT5vhrYXBI,10 MISTAKES To Avoid in Your First 3 Days in NYC!,Here Be Barr,358000,462560,6635,533
24,9FO3z-PfPoE,NYC’s craziest travel scams 🏙️ 😮,Povs Adventures,178000,13647379,774147,7241
25,GVrahBprpTA,What's NEW in New York City in 2023? (MUST VISIT Attractions!),Here Be Barr,358000,107446,2205,139
26,XT__9DjZns8,"a week in NYC VLOG 🗽🍝 best cafes & restaurants, tourist activities, hanging with friends",Briddy,501000,191487,5855,182
27,oM1CSIUwjHU,12 Dumb MISTAKES Tourists Make in New York City,Here Be Barr,358000,484331,9268,574
28,_thZMEv_5HI,a week in new york: best cafes + new food spots 🍣  (fine we'll move),Christine Le,276000,99061,1977,70
29,VB3psAa6H90,How We Spent 5 Days in New York City | A Travel Experience,The Floating Era,741,7945,118,9
30,E6fefQGxg7g,New York City Walk - Manhattan Virtual Tour - United States Travel Video,Strolling The City,53600,605048,5215,328
31,50PrOkpZ0iw,"NYC VLOG 2023 🚕🗽 exploring the city, best coffee spots, bookstores & how much we spent!",Carter Sullivan,84300,16286,610,52
32,tLwC4jYst-w,"NYC Travel Guide | Midtown, Manhattan Best things to do",Sarah Funk,209000,47030,1319,70
33,p5S-pGrEeWQ,THE FIRST TIMERS GUIDE TO NEW YORK CITY 2023,Sarah Funk,209000,101870,2782,134
34,RsYJRuXRlfA,Things to know BEFORE you go to NEW YORK CITY | NYC Travel Tips,Hungry Passport,234000,93287,1572,43
35,aQ6fezDZk3w,My FIRST Time Traveling to New York City 2021 | NYC Travel Vlog 2021,Mr.ChimeTime,348000,2273,396,23
36,tdVLW_LIe64,i take over the office for the day | new york travel vlog ep. 014,Noah Beck,1540000,46764,2934,185
37,mrGTTlm5vZ8,NYC’s Costume Tourist Scam Explained 😮,Povs Adventures,178000,8274145,413565,4278
38,kcX42z4Ah0E,New York Travel in the Fall!,Erik The Travel Guy,22700,4654,310,2
39,wJRs_S8mtYY,NEW YORK TRAVEL SECRETS: What The HAMPTONS Are Really Like | Katie Carney,Katie Carney,204000,9817,829,126
40,h8eulufV7uc,New York City April 2023 - USA 4k video Travel vlog - Manhattan Walking Tour,Strolling The City,53600,19263,375,64
41,bpoOYynzbbU,"New York Travel Vlog | Brooklyn Bridge, Dumbo, Time Out Market & The High Line",Karen Bee,7050,5311,179,25
42,g0GCJ5Gt-7g,IS NEW YORK AS EXPENSIVE AS YOU THINK?  NEW YORK TRAVEL GUIDE,TREAD the globe,97900,31438,1715,284
43,dxsawQOQ9lU,New York USA. The largest city in the US,CoolVision,663000,3578186,32749,2621
44,QP7_hu0gpUY,NEW YORK CITY | With a Toddler | Travel Vlog,Denae and Bruce,7830,4735,316,16
45,Z2btJakdVqo,"A WEEK IN NEW YORK CITY TRAVEL VLOG 🗽🚕  exploring, best food spots, surprising my sister, & more!",Emily Grace,174000,6133,278,22
46,c8I3JteqbBw,new york travel vlog ep. 005 | a life changing experience at fashion week,Noah Beck,1540000,50170,2971,94
47,l6V0Ze0A7OQ,New York Travel Tips | Final Day in New York City Vlog,Karen Bee,7050,4046,192,27
48,3ejLomlw2PY,【4K】WALK Fifth Avenue NEW YORK City USA vlog 4k video TRAVEL,4K WALK,327000,2564938,14582,1196
49,5KexOUEj9vw,"New York Travel Diaries: Thrifting in Soho, Acupuncture, Fav NYC Boba",Christine Le,276000,9827,303,21
50,5KexOUEj9vw,"New York Travel Diaries: Thrifting in Soho, Acupuncture, Fav NYC Boba",Christine Le,276000,9827,303,21
51,LxPb2mA2Nz8,TRAVELING TO NEW YORK CITY ALONE | NYC travel vlog part 1!,Shaela Ashley,18300,2489,155,39
52,NEb_gx2tQSQ,7 Days in New York Travel Guide 2023,The Explorer's Guide,537,7021,153,4
53,lkcKKsNt38s,I pretended to be an NYC tourist and this is what happened,Sarah Funk,209000,987000,18275,2575
54,ISWw47eIDpk,my first time in NYC! new york travel vlog part 1,Claire Freedom Stein,712,1391,40,18
55,y4DAl40RRg0,Live NYC 🗽 Sunday Funday! 😊 #nyc #ny #travel,Yo_ Ang,4270,2081,224,9
56,gGaSCovN-gI,LIVING IN NEW YORK CITY: Ultimate Winter Travel Guide,Erik Conover,2170000,956536,30093,1036
57,kaoILYFb8cE,TOP 15 THINGS to do in Central Park | New York City (Hidden Secrets & More !),Here Be Barr,358000,621071,11794,643
58,LAs4xaeuIBE,Day in my life as a tourist in New York City and how much I spent,findingfiona,15800,71538,3397,23
59,FjU_x1106pg,"MANHATTAN | NEW YORK CITY - NY , UNITED STATES - A TRAVEL TOUR - UHD 4K",GlobeTrotter Alpha,270000,32053092,185630,6737
60,cME8mHrIsJU,A WEEK IN NEW YORK CITY VLOG 2023! *the best trip ever :)*,Mia Stephens,104000,10938,667,50
61,zjRp6lOo7JM,How to Get Around in NYC | New York Travel Tips | Watch this before visiting NYC,Justin Planned It,1740,1566,62,0
62,QI76l81reww,Best of Richard Ayoade & Katherine Ryan's 48hrs in New York | Travel Man,Travel Man,176000,885308,7276,404
63,CmNIfzVo3d4,HOW TO VISIT NEW YORK CITY ON A BUDGET | New York Travel Guide,What a shame Mary Jane,73500,138158,4590,308
64,nYJj9KuuBBE,NEW YORK TRAVEL VLOG: MOMMIANA GANG REUNITED IN THE CITY • Street Food • BLACK YOUTUBE WOMEN TRAVEL,The Reality Of Ming,44700,6511,588,79
65,ZNX0TqoJURU,Richard Ayoade & Katherine Ryan in New York - Travel Man S03E01,North One,78400,708527,2781,240
66,-LCVUjsX8IQ,SHOP PREP AND TRAVEL WITH ME FROM JAMAICA TO NEW YORK  TRAVEL VLOG 2023 Shawna Series,Shawna Series,188,2272,102,9
67,s-dw9q6NHAk,BEST Things to Do in New York City - Everything You Need to Know (Ultimate Travel Guide 2023),Luis Gusto,40100,7118,336,41
68,RUos0xOXFpI,Financial District & Wall Street NYC Travel Vlog - New York Neighborhood Tour (FiDi 2023)  [4K],Luis Gusto,40100,9449,257,24
69,biTBwhoa4gM,What TO DO in NEW YORK CITY | NYC Travel Guide,Erik Conover,2170000,283262,8742,361
70,vec8sFvWH44,New York Travel Guide 2022 - Best Places to Visit in New York 2022 - United States,Bobo TV,1760,1825,17,0
71,pAjyuRPpR4k,NEW YORK TRAVEL GUIDE WITH KIDS- BROOKLYN,Katie Ellison,51900,16620,337,48
72,05mnhA-OXJ0,TOP 10 Things to do in New York City NYC Travel Guide 2023,Travel Guide Official,1980,862,17,9
73,gKLloEusf78,New York CITY Travel Guide 2023 | New York Travel Guide 2023 | NYC city 2023 | Travel NYC 2023,Day2Day Travel Guide,747,1749,33,21
74,-r293zvmNgI,New York Travel & Adventure Show this weekend at Javits Center,CBS New York,796000,317,3,0
75,CLscEQHhPw4,Top 10 Best Parks to Visit in New York 2023 | NYC Travel guide,TRIP XTREME,37200,1764,47,5
76,Kol2ZMvLJrY,NEW YORK TRAVEL VLOG |  NEW YORK FASHION WEEK | FIRST TIME IN NYC,BEE’S LIFE,91200,34790,2139,138
77,0tA-6oBcB9I,NEW YORK TRAVEL VLOG // taking a trip to NYC alone!!,Nicole Renard,601000,3773,165,21
78,FWblNlKTzbc,New York or nowhere. 📍Edge NYC #shorts #newyork #travel,Melissa Becraft,302000,47672,5150,45
79,szXd6gIuBaE,"New York Travel Vlog: Media Runs, Lit Nights Out, Shopping, Trying New Places, + more!",2LitTommyTV,2940,1708,132,10
80,_mpQ7JJyK2w,New York (USA) Vacation Travel Video Guide • Great Destinations,Expoza Travel,246000,153705,573,33
81,C9A0wumsN6I,"Niagara Falls, New York - Travel Guide | Things to Do | Secret Tips",CoupleVentures,552,33425,517,72
82,itAD22h7h2Y,🇺🇸 New York City Live(04.21.23)🗽 Lively Friday Night in New York,Walk Ride Fly,70200,7354,600,8
83,7HOdLTBaI8s,NYC Live 🗽Sunday Funday ⛴️ Coney Island !  #nyc #newyork #travel #ferry,Yo_ Ang,4270,2548,193,11
84,pBoRokohQEo,I WENT TO NEW YORK FASHION WEEK 2021 … | NYC travel vlog part 2,Rosina Valcheva,29300,24386,1570,76
85,JwMefsNZ77U,How to get to Manhattan by train from JFK airport | NYC travel guide,Renata Pereira,289000,233013,3763,568
86,xrOAo3MeJ_E,New York Travel Guide 2023 - Best Places to Visit In New York - Top Attractions to Visit 2023,Global Guide,1090,5807,87,1
87,SpdKPWqOB2Y,"NEW YORK VLOGS! day 1 - 3 | travel day, summit, joe's pizza, katz's deli + so many sights",Lucy Wood,202000,44691,1995,157
88,Qx9-pxueD9o,Top 10 Things to do in New York City with KIDS | Family Vacation Guide,TRIP XTREME,37200,20964,201,5
89,NE-fdl9RE7Y,NARS TOOK US TO NEW YORK! - TRAVEL VLOG | JAMIE GENEVIEVE,Jamie Genevieve,995000,85014,3179,157
90,7uZmGzrmd_A,NICEST HOTEL IN NYC!!! #newyork #travel,Brianna Renee,1250000,3348,242,0
91,pn2KIHj-VhM,"[4K] NEW YORK CITY - Lower Manhattan Summer Walk, Sixth Avenue, NYC, Travel",THE TABLE,144000,6465,148,8
92,4K_oNrSclTk,NEW YORK VLOG | FIRST TIME IN NYC | SHOPPING | PARTYING | BRUNCHES | TRAVEL VLOG,LisaJemide,49300,23783,824,48
93,x0ZWQQYAYZo,Virtual Walking Tour Of New York City 2023 - Manhattan 4k HDR Walking Tour ASMR,The NYC Walking Show,123000,7781,322,22
94,E2USoCXnPjk,NEW YORK TRAVEL VLOG / Traveling with a baby 💚🗽,G&M Fam,99400,32292,1202,58
95,sBsHM2qM-yA,NEW YORK TRAVEL GUIDE WITH KIDS- PART 2- OTHER PARTS OF MANHATTAN,Katie Ellison,51900,27342,523,76
96,9K0wKYHTl7o,NEW YORK CITY TRAVEL DAY VLOG 2023! arriving in manhattan (Heathrow-JFK with Virgin Atlantic),Georgia Robinson,1640,2974,43,28
97,vk0CG7UkdM8,We Went to NEW YORK CITY♡ TRAVEL VLOG,Nazanin Kavari,1300000,115610,4519,214
98,fIdRWKel0xQ,The Problem with New York City..,CaseyNeistat,12500000,2938403,136727,6133
99,PRUsn1sPCB0,TOP 10 Things to do in NEW YORK CITY 2023 - NYC Travel Guide,Zaro Travel,605,1207,13,7
